year,state,candidate,party,candidatevotes
2008,Iowa,"Moore, Brian",socialist,182
2008,Iowa,"La Riva, Gloria Estella",socialism and liberation party,121
2008,Kansas,"McCain, John",republican,699655
2008,Kansas,"Obama, Barack H.",democrat,514765
2008,Kansas,"Nader, Ralph",independent,10598
2008,Kansas,"Barr, Bob",libertarian,6706
2008,Kansas,"Baldwin, Charles """"Chuck""""",reform party,4148
2008,Kentucky,"McCain, John",republican,1048462
2008,Kentucky,"Obama, Barack H.",democrat,751985
2008,Kentucky,"Nader, Ralph",independent,15378
2008,Kentucky,"Barr, Bob",libertarian,5989
2008,Kentucky,"Baldwin, Charles """"Chuck""""",constitution party,4694
2008,Kentucky,,,112
2008,Louisiana,"McCain, John",republican,1148275
2008,Louisiana,"Obama, Barack H.",democrat,782989
2008,Louisiana,"Paul, Ronald """"Ron""""",louisiana taxpayers party,9368
2008,Louisiana,"McKinney, Cynthia",green,9187
2008,Louisiana,"Nader, Ralph",independent,6997
2008,Louisiana,"Baldwin, Charles """"Chuck""""",constitution party,2581
2008,Louisiana,"Harris, James",socialist workers,735
2008,Louisiana,"La Riva, Gloria Estella",socialism and liberation party,354
2008,Louisiana,"Amondson, Gene",prohibition,275
2008,Maine,"Obama, Barack H.",democrat,421923
2008,Maine,"McCain, John",republican,295273
2008,Maine,"Nader, Ralph",independent,10636
2008,Maine,"McKinney, Cynthia",green,2900
2008,Maine,Other,,431
2008,Maryland,"Obama, Barack H.",democrat,1629467
2008,Maryland,"McCain, John",republican,959862
2008,Maryland,"Nader, Ralph",independent,14713
2008,Maryland,"Barr, Bob",libertarian,9842
2008,Maryland,,,9205
2008,Maryland,"McKinney, Cynthia",green,4747
2008,Maryland,"Baldwin, Charles """"Chuck""""",constitution party,3760
2008,Massachusetts,"Obama, Barack H.",democrat,1904097
2008,Massachusetts,"McCain, John",republican,1108854
2008,Massachusetts,"Nader, Ralph",independent,28841
2008,Massachusetts,Blank Vote/Scattering,,22010
2008,Massachusetts,Other,,14483
2008,Massachusetts,"Barr, Bob",libertarian,13189
2008,Massachusetts,"McKinney, Cynthia",green,6550
2008,Massachusetts,"Baldwin, Charles """"Chuck""""",constitution party,4971
2008,Michigan,"Obama, Barack H.",democrat,2872579
2008,Michigan,"McCain, John",republican,2048639
2008,Michigan,"Nader, Ralph",natural law,33085
2008,Michigan,"Barr, Bob",libertarian,23716
2008,Michigan,"Baldwin, Charles """"Chuck""""",u.s. taxpayers party,14685
2008,Michigan,"McKinney, Cynthia",green,8892
2008,Minnesota,"Obama, Barack H.",democrat,1573354
2008,Minnesota,"McCain, John",republican,1275409
2008,Minnesota,"Nader, Ralph",independent,30152
2008,Minnesota,,,9529
2008,Minnesota,"Barr, Bob",libertarian,9174
2008,Minnesota,"Baldwin, Charles """"Chuck""""",constitution party,6787
2008,Minnesota,"McKinney, Cynthia",green,5174
2008,Minnesota,"Calero, Roger",socialist workers,790
2008,Mississippi,"McCain, John",republican,724597
2008,Mississippi,"Obama, Barack H.",democrat,554662
2008,Mississippi,"Nader, Ralph",independent,4011
2008,Mississippi,"Baldwin, Charles """"Chuck""""",constitution party,2551
2008,Mississippi,"Barr, Bob",libertarian,2529
2008,Mississippi,"McKinney, Cynthia",green,1034
2008,Mississippi,"Weill, Ted",reform party,481
2008,Missouri,"McCain, John",republican,1445814
2008,Missouri,"Obama, Barack H.",democrat,1441911
2008,Missouri,"Nader, Ralph",independent,17813
2008,Missouri,"Barr, Bob",libertarian,11386
2008,Missouri,"Baldwin, Charles """"Chuck""""",constitution party,8201
2008,Missouri,"McKinney, Cynthia",,80
2008,Montana,"McCain, John",republican,242763
2008,Montana,"Obama, Barack H.",democrat,231667
2008,Montana,"Paul, Ronald """"Ron""""",constitution party,10638
2008,Montana,"Nader, Ralph",independent,3686
2008,Montana,"Barr, Bob",libertarian,1355
2008,Nebraska,"McCain, John",republican,452979
2008,Nebraska,"Obama, Barack H.",democrat,333319
2008,Nebraska,"Nader, Ralph",independent,5406
2008,Nebraska,"Baldwin, Charles """"Chuck""""",nebraska party,2972
2008,Nebraska,,,2837
2008,Nebraska,"Barr, Bob",libertarian,2740
2008,Nebraska,"McKinney, Cynthia",green,1028
2008,Nevada,"Obama, Barack H.",democrat,533736
2008,Nevada,"McCain, John",republican,412827
2008,Nevada,None Of These Candidates,,6267
2008,Nevada,"Nader, Ralph",independent,6150
2008,Nevada,"Barr, Bob",libertarian,4263
2008,Nevada,"Baldwin, Charles """"Chuck""""",independent american,3194
2008,Nevada,"McKinney, Cynthia",green,1411
2008,New Hampshire,"Obama, Barack H.",democrat,384826
2008,New Hampshire,"McCain, John",republican,316534
2008,New Hampshire,"Nader, Ralph",independent,3503
2008,New Hampshire,,,3359
2008,New Hampshire,"Barr, Bob",libertarian,2748
2008,New Jersey,"Obama, Barack H.",democrat,2215422
2008,New Jersey,"McCain, John",republican,1613207
2008,New Jersey,"Nader, Ralph",independent,21298
2008,New Jersey,"Barr, Bob",libertarian,8441
2008,New Jersey,"Baldwin, Charles """"Chuck""""",constitution party,3956
2008,New Jersey,"McKinney, Cynthia",green,3636
2008,New Jersey,"Moore, Brian",socialist,699
2008,New Jersey,"Boss, Jeffery",vote here,639
2008,New Jersey,"Calero, Roger",socialist workers,523
2008,New Jersey,"La Riva, Gloria Estella",socialism and liberation party,416
2008,New Mexico,"Obama, Barack H.",democrat,472422
2008,New Mexico,"McCain, John",republican,346832
2008,New Mexico,"Nader, Ralph",independent,5327
2008,New Mexico,"Barr, Bob",libertarian,2428
2008,New Mexico,"Baldwin, Charles """"Chuck""""",constitution party,1597
2008,New Mexico,"McKinney, Cynthia",green,1552
2008,New York,"Obama, Barack H.",democrat,4645332
2008,New York,"McCain, John",republican,2418323
2008,New York,"McCain, John",conservative,170475
2008,New York,"McCain, John",independence,163973
2008,New York,"Obama, Barack H.",working families,159613
2008,New York,Blank Vote/Scattering,,84701
2008,New York,"Nader, Ralph",populist,41249
2008,New York,"Barr, Bob",libertarian,19596
2008,New York,"McKinney, Cynthia",green,12801
2008,New York,"Harris, James",socialist workers,3615
2008,New York,"La Riva, Gloria Estella",socialism and liberation party,1639
2008,New York,,,702
2008,North Carolina,"Obama, Barack H.",democrat,2142651
2008,North Carolina,"McCain, John",republican,2128474
2008,North Carolina,"Barr, Bob",libertarian,25722
2008,North Carolina,,,12494
2008,North Carolina,"Nader, Ralph",independent,1510
2008,North Dakota,"McCain, John",republican,168601
2008,North Dakota,"Obama, Barack H.",democrat,141278
2008,North Dakota,"Nader, Ralph",independent,4189
2008,North Dakota,"Barr, Bob",libertarian,1354
2008,North Dakota,"Baldwin, Charles """"Chuck""""",constitution party,1199
2008,Ohio,"Obama, Barack H.",democrat,2940044
2008,Ohio,"McCain, John",republican,2677820
2008,Ohio,"Nader, Ralph",independent,46242
2008,Ohio,"Barr, Bob",libertarian,19917
2008,Ohio,"Baldwin, Charles """"Chuck""""",constitution party,12565
2008,Ohio,"McKinney, Cynthia",green,8518
2008,Ohio,"Moore, Brian",socialist,2735
2008,Ohio,,independent,509
2008,Oklahoma,"McCain, John",republican,960165
2008,Oklahoma,"Obama, Barack H.",democrat,502496
2008,Oregon,"Obama, Barack H.",democrat,1037291
2008,Oregon,"McCain, John",republican,738475
2008,Oregon,"Nader, Ralph",peace party,18614
2008,Oregon,Other,,13613
2008,Oregon,"Baldwin, Charles """"Chuck""""",constitution party,7693
2008,Oregon,,libertarian,7635
2008,Oregon,"McKinney, Cynthia",green,4543
2008,Pennsylvania,"Obama, Barack H.",democrat,3276363
2008,Pennsylvania,"McCain, John",republican,2655885
2008,Pennsylvania,"Nader, Ralph",independent,42977
2008,Pennsylvania,"Barr, Bob",libertarian,19912
2008,Pennsylvania,,,9955
2008,Pennsylvania,Scattering,,8180
2008,Rhode Island,"Obama, Barack H.",democrat,296571
2008,Rhode Island,"McCain, John",republican,165391
2008,Rhode Island,"Nader, Ralph",independent,4829
2008,Rhode Island,,,1999
2008,Rhode Island,"Barr, Bob",libertarian,1382
2008,Rhode Island,"McKinney, Cynthia",green,797
2008,Rhode Island,"Baldwin, Charles """"Chuck""""",constitution party,675
2008,Rhode Island,"La Riva, Gloria Estella",socialism and liberation party,122
2008,South Carolina,"McCain, John",republican,1034896
2008,South Carolina,"Obama, Barack H.",democrat,862449
2008,South Carolina,"Barr, Bob",libertarian,7283
2008,South Carolina,"Baldwin, Charles """"Chuck""""",constitution party,6827
2008,South Carolina,"Nader, Ralph",independent,5053
2008,South Carolina,"McKinney, Cynthia",green,4461
2008,South Dakota,"McCain, John",republican,203054
2008,South Dakota,"Obama, Barack H.",democrat,170924
2008,South Dakota,"Nader, Ralph",independent,4267
2008,South Dakota,"Baldwin, Charles """"Chuck""""",constitution party,1895
2008,South Dakota,"Barr, Bob",libertarian,1835
2008,Tennessee,"McCain, John",republican,1479178
2008,Tennessee,"Obama, Barack H.",democrat,1087437
2008,Tennessee,,independent,33134
2008,Texas,"McCain, John",republican,4479328
2008,Texas,"Obama, Barack H.",democrat,3528633
2008,Texas,"Barr, Bob",libertarian,56116
2008,Texas,,,7967
2008,Texas,"Nader, Ralph",independent,5751
2008,Utah,"McCain, John",republican,596030
2008,Utah,"Obama, Barack H.",democrat,327670
2008,Utah,"Baldwin, Charles """"Chuck""""",constitution party,12012
2008,Utah,"Nader, Ralph",peace & freedom,8416
2008,Utah,"Barr, Bob",libertarian,6966
2008,Utah,"McKinney, Cynthia",green,982
2008,Utah,"La Riva, Gloria Estella",socialism and liberation party,262
2008,Utah,,,32
2008,Vermont,"Obama, Barack H.",democrat,219262
2008,Vermont,"McCain, John",republican,98974
2008,Vermont,"Nader, Ralph",independent,3339
2008,Vermont,,,1464
2008,Vermont,"Barr, Bob",libertarian,1067
2008,Vermont,"Baldwin, Charles """"Chuck""""",constitution party,500
2008,Vermont,"Calero, Roger",socialist workers,150
2008,Vermont,"La Riva, Gloria Estella",socialism and liberation party,149
2008,Vermont,"Moore, Brian",liberty union party,141
2008,Virginia,"Obama, Barack H.",democrat,1959532
2008,Virginia,"McCain, John",republican,1725005
2008,Virginia,"Nader, Ralph",independent,11483
2008,Virginia,"Barr, Bob",libertarian,11067
2008,Virginia,"Baldwin, Charles """"Chuck""""",independent green,7474
2008,Virginia,,,6355
2008,Virginia,"McKinney, Cynthia",green,2344
2008,Washington,"Obama, Barack H.",democrat,1750848
2008,Washington,"McCain, John",republican,1229216
2008,Washington,"Nader, Ralph",independent,29489
2008,Washington,"Barr, Bob",libertarian,12728
2008,Washington,"Baldwin, Charles """"Chuck""""",constitution party,9432
2008,Washington,"McKinney, Cynthia",green,3819
2008,Washington,"La Riva, Gloria Estella",socialism and liberation party,705
2008,Washington,"Harris, James",socialist workers,641
2008,West Virginia,"McCain, John",republican,397466
2008,West Virginia,"Obama, Barack H.",democrat,303857
2008,West Virginia,"Nader, Ralph",independent,7219
2008,West Virginia,"Baldwin, Charles """"Chuck""""",constitution party,2465
2008,West Virginia,"McKinney, Cynthia",mountain party,2355
2008,West Virginia,,,89
2008,Wisconsin,"Obama, Barack H.",democrat,1677211
2008,Wisconsin,"McCain, John",republican,1262393
2008,Wisconsin,"Nader, Ralph",independent,17605
2008,Wisconsin,"Barr, Bob",libertarian,8858
2008,Wisconsin,Scattering,,6521
2008,Wisconsin,"Baldwin, Charles """"Chuck""""",constitution party,5072
2008,Wisconsin,"McKinney, Cynthia",green,4216
2008,Wisconsin,"Wamboldt, Jeffrey",we the people,764
2008,Wisconsin,"Moore, Brian",socialist party usa,540
2008,Wisconsin,"La Riva, Gloria Estella",socialism and liberation party,237
2008,Wyoming,"McCain, John",republican,164958
2008,Wyoming,"Obama, Barack H.",democrat,82868
2008,Wyoming,,independent,3717
2008,Wyoming,"Barr, Bob",libertarian,1594
2008,Wyoming,,,1521
2008,Wyoming,Over Vote,,246
2012,Alabama,"Romney, Mitt",republican,1255925
2012,Alabama,"Obama, Barack H.",democrat,795696
2012,Alabama,,independent,18706
2012,Alabama,,,4011
2012,Alaska,"Romney, Mitt",republican,164676
2012,Alaska,"Obama, Barack H.",democrat,122640
2012,Alaska,"Johnson, Gary",libertarian,7392
2012,Alaska,"Stein, Jill",green,2917
2012,Alaska,,,2870
2012,Arizona,"Romney, Mitt",republican,1233654
2012,Arizona,"Obama, Barack H.",democrat,1025232
2012,Arizona,"Johnson, Gary",libertarian,32100
2012,Arizona,"Stein, Jill",green,7816
2012,Arizona,,,452
2012,Arkansas,"Romney, Mitt",republican,647744
2012,Arkansas,"Obama, Barack H.",democrat,394409
2012,Arkansas,"Johnson, Gary",libertarian,16276
2012,Arkansas,"Stein, Jill",green,9305
2012,Arkansas,"La Riva, Gloria Estella",socialism and liberation party,1734
2012,California,"Obama, Barack H.",democrat,7854285
2012,California,"Romney, Mitt",republican,4839958
2012,California,"Johnson, Gary",libertarian,143221
2012,California,"Stein, Jill",green,85638
2012,California,"Barr, Roseanne",peace & freedom,53824
2012,California,"Hoefling, Thomas Conrad """"Tom""""",american independent party,38372
2012,California,,,23249
2012,Colorado,"Obama, Barack H.",democrat,1323101
2012,Colorado,"Romney, Mitt",republican,1185243
2012,Colorado,"Johnson, Gary",libertarian,35545
2012,Colorado,"Stein, Jill",green,7508
2012,Colorado,"Goode, Virgil Hamlin, Jr.",american constitution party,6234
2012,Colorado,"Barr, Roseanne",peace & freedom,5057
2012,Colorado,"Reed, Jill Ann",no party affiliation,2588
2012,Colorado,"Anderson, Ross Carl """"Rocky""""",justice,1262
2012,Colorado,"Tittle, Sheila """"Samm""""",we the people,791
2012,Colorado,"Hoefling, Thomas Conrad """"Tom""""",america's party,679
2012,Colorado,"La Riva, Gloria Estella",socialism and liberation party,317
2012,Colorado,"Alexander, Stewart",socialist,308
2012,Colorado,"Miller, Merlin",american third position,267
2012,Colorado,"Stevens, Thomas Robert """"Tom""""",objectivist party,235
2012,Colorado,"Harris, James",socialist workers,192
2012,Colorado,"White, Jerry",socialist equality party,189
2012,Connecticut,"Obama, Barack H.",democrat,905083
2012,Connecticut,"Romney, Mitt",republican,634892
2012,Connecticut,"Johnson, Gary",libertarian,12340
2012,Connecticut,,independent,4971
2012,Connecticut,,,918
2012,Delaware,"Obama, Barack H.",democrat,242584
2012,Delaware,"Romney, Mitt",republican,165484
2012,Delaware,"Johnson, Gary",libertarian,3882
2012,Delaware,"Stein, Jill",green,1940
2012,District of Columbia,"Obama, Barack H.",democrat,267070
2012,District of Columbia,"Romney, Mitt",republican,21381
2012,District of Columbia,"Stein, Jill",d.c. statehood green,2458
2012,District of Columbia,"Johnson, Gary",libertarian,2083
2012,District of Columbia,,,772
2012,Florida,"Obama, Barack H.",democrat,4237756
2012,Florida,"Romney, Mitt",republican,4163447
2012,Florida,"Johnson, Gary",libertarian,44726
2012,Florida,"Stein, Jill",green,8947
2012,Florida,"Barr, Roseanne",peace & freedom,8154
2012,Florida,"Stevens, Thomas Robert """"Tom""""",objectivist party,3856
2012,Florida,"Goode, Virgil Hamlin, Jr.",constitution party,2607
2012,Florida,"Anderson, Ross Carl """"Rocky""""",justice,1754
2012,Florida,"Hoefling, Thomas Conrad """"Tom""""",american independent,946
2012,Florida,"Barnett, Andre",reform party,820
2012,Florida,"Alexander, Stewart",socialist,799
2012,Florida,"Lindsay, Peta",socialism and liberation party,322
2012,Florida,,,45
2012,Georgia,"Romney, Mitt",republican,2078688
2012,Georgia,"Obama, Barack H.",democrat,1773827
2012,Georgia,"Johnson, Gary",libertarian,45324
2012,Hawaii,"Obama, Barack H.",democrat,306658
2012,Hawaii,"Romney, Mitt",republican,121015
2012,Hawaii,"Johnson, Gary",libertarian,3840
2012,Hawaii,"Stein, Jill",green,3184
2012,Hawaii,Blank Vote,,2227
2012,Hawaii,Over Vote,,235
2012,Idaho,"Romney, Mitt",republican,420911
2012,Idaho,"Obama, Barack H.",democrat,212787
2012,Idaho,"Johnson, Gary",libertarian,9453
2012,Idaho,,independent,6901
2012,Idaho,"Goode, Virgil Hamlin, Jr.",constitution party,2222
2012,Illinois,"Obama, Barack H.",democrat,3019512
2012,Illinois,"Romney, Mitt",republican,2135216
2012,Illinois,"Johnson, Gary",libertarian,56229
2012,Illinois,"Stein, Jill",green,30222
2012,Illinois,,,835
2012,Indiana,"Romney, Mitt",republican,1420543
2012,Indiana,"Obama, Barack H.",democrat,1152887
2012,Indiana,"Johnson, Gary",libertarian,50111
2012,Indiana,,,993
2012,Iowa,"Obama, Barack H.",democrat,822544
2012,Iowa,"Romney, Mitt",republican,730617
2012,Iowa,"Johnson, Gary",libertarian,12926
2012,Iowa,,,7442
2012,Iowa,"Stein, Jill",green,3769
2012,Iowa,"Goode, Virgil Hamlin, Jr.",constitution party,3038
2012,Iowa,,nominated by petition,1027
2012,Iowa,"Harris, James",socialist workers,445
2012,Iowa,"La Riva, Gloria Estella",socialism and liberation party,372
2012,Kansas,"Romney, Mitt",republican,692634
2012,Kansas,"Obama, Barack H.",democrat,440726
2012,Kansas,"Johnson, Gary",libertarian,20456
2012,Kansas,"Baldwin, Charles """"Chuck""""",reform party,5017
2012,Kansas,,,1138
2012,Kentucky,"Romney, Mitt",republican,1087190
2012,Kentucky,"Obama, Barack H.",democrat,679370
2012,Kentucky,"Johnson, Gary",libertarian,17063
2012,Kentucky,"Terry, Randall",independent,6872
2012,Kentucky,"Stein, Jill",green,6337
2012,Kentucky,,,380
2012,Louisiana,"Romney, Mitt",republican,1152262
2012,Louisiana,"Obama, Barack H.",democrat,809141
2012,Louisiana,"Johnson, Gary",libertarian,18157
2012,Louisiana,"Stein, Jill",green,6978
2012,Louisiana,"Goode, Virgil Hamlin, Jr.",constitution party,2508
2012,Louisiana,"Tittle, Sheila """"Samm""""",we the people,1767
2012,Louisiana,"Anderson, Ross Carl """"Rocky""""",justice,1368
2012,Louisiana,"Lindsay, Peta",socialism and liberation party,622
2012,Louisiana,"Fellure, Lowell Jackson """"Jack""""",prohibition,518
2012,Louisiana,"Harris, James",socialist workers,389
2012,Louisiana,"White, Jerome """"Jerry""""",socialist equality party,355
2012,Maine,"Obama, Barack H.",democrat,401306
2012,Maine,"Romney, Mitt",republican,292276
2012,Maine,Blank Vote,,11578
2012,Maine,"Johnson, Gary",libertarian,9352
2012,Maine,"Stein, Jill",green,8119
2012,Maine,,,2127
2012,Maryland,"Obama, Barack H.",democrat,1677844
2012,Maryland,"Romney, Mitt",republican,971869
2012,Maryland,"Johnson, Gary",libertarian,30195
2012,Maryland,"Stein, Jill",green,17110
2012,Maryland,,,10309
2012,Massachusetts,"Obama, Barack H.",democrat,1921290
2012,Massachusetts,"Romney, Mitt",republican,1188314
2012,Massachusetts,"Johnson, Gary",libertarian,30920
2012,Massachusetts,"Stein, Jill",green-rainbow,20691
2012,Massachusetts,Blank Vote/Scattering,,16429
2012,Massachusetts,Other,,6552
2012,Michigan,"Obama, Barack H.",democrat,2564569
2012,Michigan,"Romney, Mitt",republican,2115256
2012,Michigan,"Stein, Jill",green,21897
2012,Michigan,"Goode, Virgil Hamlin, Jr.",u.s. taxpayers party,16119
2012,Michigan,,,7973
2012,Michigan,"Anderson, Ross Carl """"Rocky""""",natural law,5147
2012,Minnesota,"Obama, Barack H.",democratic-farmer-labor,1546167
2012,Minnesota,"Romney, Mitt",republican,1320225
2012,Minnesota,"Johnson, Gary",libertarian,35098
2012,Minnesota,"Stein, Jill",green,13023
2012,Minnesota,,,10641
2012,Minnesota,"Goode, Virgil Hamlin, Jr.",constitution party,3722
2012,Minnesota,"Carlson, Jim",grassroots,3149
2012,Minnesota,"Anderson, Ross Carl """"Rocky""""",justice,1996
2012,Minnesota,"Morstad, Dean",constitutional government,1092
2012,Minnesota,"Harris, James",socialist workers,1051
2012,Minnesota,"Lindsay, Peta",socialism and liberation party,397
2012,Mississippi,"Romney, Mitt",republican,710746
2012,Mississippi,"Obama, Barack H.",democrat,562949
2012,Mississippi,"Johnson, Gary",libertarian,6676
2012,Mississippi,"Goode, Virgil Hamlin, Jr.",constitution party,2609
2012,Mississippi,"Stein, Jill",green,1588
2012,Mississippi,"Washer, Barbara Dale",reform party,1016
2012,Missouri,"Romney, Mitt",republican,1482440
2012,Missouri,"Obama, Barack H.",democrat,1223796
2012,Missouri,"Johnson, Gary",libertarian,43151
2012,Missouri,"Goode, Virgil Hamlin, Jr.",constitution party,7936
2012,Montana,"Romney, Mitt",republican,267928
2012,Montana,"Obama, Barack H.",democrat,201839
2012,Montana,"Johnson, Gary",libertarian,14165
2012,Montana,,,116
2012,Nebraska,"Romney, Mitt",republican,475064
2012,Nebraska,"Obama, Barack H.",democrat,302081
2012,Nebraska,"Johnson, Gary",libertarian,11109
2012,Nebraska,,,3717
2012,Nebraska,,nominated by petition,2408
2012,Nevada,"Obama, Barack H.",democrat,531373
2012,Nevada,"Romney, Mitt",republican,463567
2012,Nevada,"Johnson, Gary",libertarian,10968
2012,Nevada,None Of These Candidates,,5770
2012,Nevada,"Goode, Virgil Hamlin, Jr.",independent american,3240
2012,New Hampshire,"Obama, Barack H.",democrat,369561
2012,New Hampshire,"Romney, Mitt",republican,329918
2012,New Hampshire,"Johnson, Gary",libertarian,8212
2012,New Hampshire,,,1698
2012,New Hampshire,Scattering,,875
2012,New Hampshire,"Goode, Virgil Hamlin, Jr.",constitution party,708
2012,New Jersey,"Obama, Barack H.",democrat,2122786
2012,New Jersey,"Romney, Mitt",republican,1478088
2012,New Jersey,"Johnson, Gary",libertarian,21035
2012,New Jersey,"Stein, Jill",green,9886
2012,New Jersey,"Goode, Virgil Hamlin, Jr.",constitution party,2063
2012,New Jersey,"Anderson, Ross Carl """"Rocky""""",justice,1723
2012,New Jersey,"Boss, Jeffery",nsa did 911,1024
2012,New Jersey,"Harris, James",socialist workers,709
2012,New Jersey,"Miller, Merlin",american third position,664
2012,New Jersey,"Lindsay, Peta",socialism and liberation party,521
2012,New Mexico,"Obama, Barack H.",democrat,415335
2012,New Mexico,"Romney, Mitt",republican,335788
2012,New Mexico,"Johnson, Gary",libertarian,27788
2012,New Mexico,"Stein, Jill",green,2691
2012,New Mexico,,new mexico independent party,1174
2012,New Mexico,"Goode, Virgil Hamlin, Jr.",constitution party,982
2012,New York,"Obama, Barack H.",democrat,4324228
2012,New York,"Romney, Mitt",republican,2223397
2012,New York,"Romney, Mitt",conservative,262035
2012,New York,"Obama, Barack H.",working families,147643
2012,New York,Blank Vote/Void Vote/Scattering,,63881
2012,New York,"Johnson, Gary",libertarian,47092
2012,New York,"Stein, Jill",green,39856
2012,New York,"Goode, Virgil Hamlin, Jr.",constitution party,6270
2012,New York,"Lindsay, Peta",socialism and liberation party,2039
2012,New York,,,343
2012,North Carolina,"Romney, Mitt",republican,2270395
2012,North Carolina,"Obama, Barack H.",democrat,2178391
2012,North Carolina,"Johnson, Gary",libertarian,44515
2012,North Carolina,,,12071
2012,North Dakota,"Romney, Mitt",republican,188320
2012,North Dakota,"Obama, Barack H.",democrat,124966
2012,North Dakota,"Johnson, Gary",libertarian,5238
2012,North Dakota,,,1860
2012,North Dakota,"Goode, Virgil Hamlin, Jr.",constitution party,1186
2012,North Dakota,"Stein, Jill",green,1362
2012,Ohio,"Obama, Barack H.",democrat,2827621
2012,Ohio,"Romney, Mitt",republican,2661407
2012,Ohio,"Johnson, Gary",libertarian,49493
2012,Ohio,"Stein, Jill",green,18574
2012,Ohio,"Duncan, Richard",independent,12502
2012,Ohio,"Goode, Virgil Hamlin, Jr.",constitution party,8151
2012,Ohio,"Alexander, Stewart",socialist,2967
2012,Ohio,,,107
2012,Oklahoma,"Romney, Mitt",republican,891325
2012,Oklahoma,"Obama, Barack H.",democrat,443547
2012,Oregon,"Obama, Barack H.",democrat,970488
2012,Oregon,"Romney, Mitt",republican,754175
2012,Oregon,"Johnson, Gary",libertarian,24089
2012,Oregon,"Stein, Jill",pacific green,19427
2012,Oregon,Other,,13275
2012,Oregon,"Christensen, Will",constitution party,4432
2012,Oregon,"Anderson, Ross Carl """"Rocky""""",progressive,3384
2012,Pennsylvania,"Obama, Barack H.",democrat,2990274
2012,Pennsylvania,"Romney, Mitt",republican,2680434
2012,Pennsylvania,"Johnson, Gary",libertarian,49991
2012,Pennsylvania,"Stein, Jill",green,21341
2012,Rhode Island,"Obama, Barack H.",democrat,279677
2012,Rhode Island,"Romney, Mitt",republican,157204
2012,Rhode Island,"Johnson, Gary",libertarian,4388
2012,Rhode Island,"Stein, Jill",green,2421
2012,Rhode Island,,,1381
2012,Rhode Island,"Goode, Virgil Hamlin, Jr.",constitution party,430
2012,Rhode Island,"Anderson, Ross Carl """"Rocky""""",justice,416
2012,Rhode Island,"Lindsay, Peta",socialism and liberation party,132
2012,South Carolina,"Romney, Mitt",republican,1071645
2012,South Carolina,"Obama, Barack H.",democrat,865941
2012,South Carolina,"Johnson, Gary",libertarian,16321
2012,South Carolina,"Stein, Jill",green,5446
2012,South Carolina,"Goode, Virgil Hamlin, Jr.",constitution party,4765
2012,South Dakota,"Romney, Mitt",republican,210610
2012,South Dakota,"Obama, Barack H.",democrat,145039
2012,South Dakota,"Johnson, Gary",libertarian,5795
2012,South Dakota,"Goode, Virgil Hamlin, Jr.",constitution party,2371
2012,Tennessee,"Romney, Mitt",republican,1462330
2012,Tennessee,"Obama, Barack H.",democrat,960709
2012,Tennessee,,independent,23001
2012,Tennessee,"Stein, Jill",green,6515
2012,Tennessee,"Goode, Virgil Hamlin, Jr.",constitution party,6022
2012,Texas,"Romney, Mitt",republican,4569843
2012,Texas,"Obama, Barack H.",democrat,3308124
2012,Texas,"Johnson, Gary",libertarian,88580
2012,Texas,"Stein, Jill",green,24657
2012,Texas,,,2647
2012,Utah,"Romney, Mitt",republican,740600
2012,Utah,"Obama, Barack H.",democrat,251813
2012,Utah,"Johnson, Gary",libertarian,12572
2012,Utah,"Anderson, Ross Carl """"Rocky""""",justice,5335
2012,Utah,"Stein, Jill",green,3817
2012,Utah,"Goode, Virgil Hamlin, Jr.",constitution party,2871
2012,Utah,,no party affiliation,393
2012,Utah,,,39
2012,Vermont,"Obama, Barack H.",democrat,199239
2012,Vermont,"Romney, Mitt",republican,92698
2012,Vermont,"Johnson, Gary",libertarian,3487
2012,Vermont,,,2043
2012,Vermont,"Anderson, Ross Carl """"Rocky""""",justice,1128
2012,Vermont,"Lindsay, Peta",socialism and liberation party,695
2012,Virginia,"Obama, Barack H.",democrat,1971820
2012,Virginia,"Romney, Mitt",republican,1822522
2012,Virginia,"Johnson, Gary",libertarian,31216
2012,Virginia,"Goode, Virgil Hamlin, Jr.",constitution party,13058
2012,Virginia,"Stein, Jill",green,8627
2012,Virginia,,,7246
2012,Washington,"Obama, Barack H.",democrat,1755396
2012,Washington,"Mitt, Romney",republican,1290670
2012,Washington,"Johnson, Gary",libertarian,42202
2012,Washington,"Stein, Jill",green,20928
2012,Washington,"Goode, Virgil Hamlin, Jr.",constitution party,8851
2012,Washington,"Anderson, Ross Carl """"Rocky""""",justice,4946
2012,Washington,"Lindsay, Peta",socialism and liberation party,1318
2012,Washington,"Harris, James",socialist workers,1205
2012,West Virginia,"Romney, Mitt",republican,417655
2012,West Virginia,"Obama, Barack H.",democrat,238269
2012,West Virginia,"Johnson, Gary",libertarian,6302
2012,West Virginia,"Stein, Jill",mountain party,4406
2012,West Virginia,,no party affiliation,3806
2012,Wisconsin,"Obama, Barack H.",democrat,1620985
2012,Wisconsin,"Romney, Mitt",republican,1410966
2012,Wisconsin,,independent,29383
2012,Wisconsin,Scattering,,5170
2012,Wisconsin,"Goode, Virgil Hamlin, Jr.",constitution party,4930
2012,Wyoming,"Romney, Mitt",republican,170962
2012,Wyoming,"Obama, Barack H.",democrat,69286
2012,Wyoming,"Johnson, Gary",libertarian,5326
2012,Wyoming,,,2035
2012,Wyoming,"Goode, Virgil Hamlin, Jr.",constitution party,1452
